Provincia;Identificador_Canton;Identificador_Parroquia;Zona;Sector;Numero_vivienda;Numero_hogar;Numero_persona_emigrante;Año_salida;Sexo_emigrante;Edad_salida;pais_actual_residencia;Area_urbana_o_rural;CANTON;PARROQ;ID_VIV;ID_HOG;ID_EMI
"Azuay";1;62;999;5;84;1;1;2020;"Hombre";29;881840;"Area rural";"Cuenca";"Ricaurte";101629990050084;10162999005008401;1016299900500840101
"Azuay";1;62;999;6;56;1;1;2019;"Hombre";38;881840;"Area rural";"Cuenca";"Ricaurte";101629990060056;10162999006005601;1016299900600560101
"Azuay";1;62;999;6;65;1;1;2019;"Mujer";28;881840;"Area rural";"Cuenca";"Ricaurte";101629990060065;10162999006006501;1016299900600650101
"Azuay";1;62;999;6;89;1;1;2022;"Mujer";40;881840;"Area rural";"Cuenca";"Ricaurte";101629990060089;10162999006008901;1016299900600890101
"Azuay";1;62;999;7;27;1;1;2022;"Hombre";32;881840;"Area rural";"Cuenca";"Ricaurte";101629990070027;10162999007002701;1016299900700270101
"Azuay";1;62;999;7;30;1;1;2022;"Hombre";20;881840;"Area rural";"Cuenca";"Ricaurte";101629990070030;10162999007003001;1016299900700300101
"Azuay";1;62;999;7;40;1;1;2019;"Hombre";31;881840;"Area rural";"Cuenca";"Ricaurte";101629990070040;10162999007004001;1016299900700400101
"Azuay";1;62;999;7;46;1;1;2010;"Hombre";20;881840;"Area rural";"Cuenca";"Ricaurte";101629990070046;10162999007004601;1016299900700460101
"Azuay";1;62;999;7;47;1;1;2020;"Mujer";36;881840;"Area rural";"Cuenca";"Ricaurte";101629990070047;10162999007004701;1016299900700470101
"Azuay";1;62;999;7;51;1;1;2022;"Hombre";18;881840;"Area rural";"Cuenca";"Ricaurte";101629990070051;10162999007005101;1016299900700510101
"Azuay";1;62;999;7;80;1;1;2020;"Hombre";24;881840;"Area rural";"Cuenca";"Ricaurte";101629990070080;10162999007008001;1016299900700800101
"Azuay";1;62;999;8;78;1;1;2020;"Hombre";18;881840;"Area rural";"Cuenca";"Ricaurte";101629990080078;10162999008007801;1016299900800780101
"Azuay";1;62;999;8;89;1;1;2022;"Hombre";23;881840;"Area rural";"Cuenca";"Ricaurte";101629990080089;10162999008008901;1016299900800890101
"Azuay";1;62;999;9;25;1;1;2022;"Hombre";41;881840;"Area rural";"Cuenca";"Ricaurte";101629990090025;10162999009002501;1016299900900250101
"Azuay";1;62;999;9;82;1;1;2019;"Mujer";35;881840;"Area rural";"Cuenca";"Ricaurte";101629990090082;10162999009008201;1016299900900820101
"Azuay";1;62;999;9;88;1;1;2020;"Mujer";30;881840;"Area rural";"Cuenca";"Ricaurte";101629990090088;10162999009008801;1016299900900880101
"Azuay";1;62;999;10;60;1;1;2022;"Hombre";20;881840;"Area rural";"Cuenca";"Ricaurte";101629990100060;10162999010006001;1016299901000600101
"Azuay";1;62;999;10;91;1;1;2019;"Hombre";24;881840;"Area rural";"Cuenca";"Ricaurte";101629990100091;10162999010009101;1016299901000910101
"Azuay";1;62;999;12;31;1;1;9999;"Mujer";999;881840;"Area rural";"Cuenca";"Ricaurte";101629990120031;10162999012003101;1016299901200310101
"Azuay";1;62;999;12;64;1;1;2016;"Hombre";35;881840;"Area rural";"Cuenca";"Ricaurte";101629990120064;10162999012006401;1016299901200640101
"Azuay";1;62;999;13;19;1;1;9999;"Mujer";999;881840;"Area rural";"Cuenca";"Ricaurte";101629990130019;10162999013001901;1016299901300190101
"Azuay";1;62;999;14;3;1;1;2020;"Mujer";32;881840;"Area rural";"Cuenca";"Ricaurte";101629990140003;10162999014000301;1016299901400030101
"Azuay";1;62;999;14;15;1;1;2014;"Hombre";23;881840;"Area rural";"Cuenca";"Ricaurte";101629990140015;10162999014001501;1016299901400150101
"Azuay";1;62;999;14;17;1;1;2022;"Mujer";20;881840;"Area rural";"Cuenca";"Ricaurte";101629990140017;10162999014001701;1016299901400170101
"Azuay";1;62;999;14;20;1;1;2020;"Mujer";21;881840;"Area rural";"Cuenca";"Ricaurte";101629990140020;10162999014002001;1016299901400200101
"Azuay";1;62;999;14;24;1;1;2012;"Hombre";20;881840;"Area rural";"Cuenca";"Ricaurte";101629990140024;10162999014002401;1016299901400240101
"Azuay";1;62;999;14;25;1;1;2019;"Hombre";18;881840;"Area rural";"Cuenca";"Ricaurte";101629990140025;10162999014002501;1016299901400250101
"Azuay";1;62;999;14;39;1;1;2020;"Hombre";24;881840;"Area rural";"Cuenca";"Ricaurte";101629990140039;10162999014003901;1016299901400390101
"Azuay";1;62;999;14;76;1;1;2012;"Mujer";48;881840;"Area rural";"Cuenca";"Ricaurte";101629990140076;10162999014007601;1016299901400760101
"Azuay";1;62;999;15;5;1;1;2020;"Hombre";999;881840;"Area rural";"Cuenca";"Ricaurte";101629990150005;10162999015000501;1016299901500050101
"Azuay";1;62;999;15;11;1;1;2022;"Hombre";30;881840;"Area rural";"Cuenca";"Ricaurte";101629990150011;10162999015001101;1016299901500110101
"Azuay";1;62;999;15;25;1;1;2022;"Hombre";22;881840;"Area rural";"Cuenca";"Ricaurte";101629990150025;10162999015002501;1016299901500250101
"Azuay";1;62;999;15;38;1;1;2016;"Hombre";32;881840;"Area rural";"Cuenca";"Ricaurte";101629990150038;10162999015003801;1016299901500380101
"Azuay";1;62;999;15;39;1;1;2012;"Hombre";999;881840;"Area rural";"Cuenca";"Ricaurte";101629990150039;10162999015003901;1016299901500390101
"Azuay";1;62;999;15;46;1;1;2014;"Hombre";35;881840;"Area rural";"Cuenca";"Ricaurte";101629990150046;10162999015004601;1016299901500460101
"Azuay";1;62;999;15;90;1;1;2016;"Hombre";33;881840;"Area rural";"Cuenca";"Ricaurte";101629990150090;10162999015009001;1016299901500900101
"Azuay";1;62;999;15;96;1;1;2019;"Mujer";57;881840;"Area rural";"Cuenca";"Ricaurte";101629990150096;10162999015009601;1016299901500960101
"Azuay";1;62;999;15;98;1;1;2019;"Mujer";32;881840;"Area rural";"Cuenca";"Ricaurte";101629990150098;10162999015009801;1016299901500980101
"Azuay";1;62;999;16;23;1;1;2019;"Mujer";43;881840;"Area rural";"Cuenca";"Ricaurte";101629990160023;10162999016002301;1016299901600230101
"Azuay";1;62;999;16;29;1;1;2022;"Hombre";999;881840;"Area rural";"Cuenca";"Ricaurte";101629990160029;10162999016002901;1016299901600290101
"Azuay";1;62;999;16;42;1;1;9999;"Hombre";18;881840;"Area rural";"Cuenca";"Ricaurte";101629990160042;10162999016004201;1016299901600420101
"Azuay";1;62;999;16;52;1;1;2014;"Hombre";19;881840;"Area rural";"Cuenca";"Ricaurte";101629990160052;10162999016005201;1016299901600520101
"Azuay";1;62;999;17;1;1;1;2022;"Mujer";35;881840;"Area rural";"Cuenca";"Ricaurte";101629990170001;10162999017000101;1016299901700010101
"Azuay";1;62;999;17;26;1;1;2022;"Mujer";25;881840;"Area rural";"Cuenca";"Ricaurte";101629990170026;10162999017002601;1016299901700260101
"Azuay";1;62;999;17;33;1;1;2019;"Hombre";30;881840;"Area rural";"Cuenca";"Ricaurte";101629990170033;10162999017003301;1016299901700330101
"Azuay";1;62;999;18;30;1;1;2020;"Hombre";20;881840;"Area rural";"Cuenca";"Ricaurte";101629990180030;10162999018003001;1016299901800300101
"Azuay";1;62;999;18;35;1;1;2022;"Mujer";17;881840;"Area rural";"Cuenca";"Ricaurte";101629990180035;10162999018003501;1016299901800350101
"Azuay";1;62;999;18;36;1;1;2020;"Mujer";32;881840;"Area rural";"Cuenca";"Ricaurte";101629990180036;10162999018003601;1016299901800360101
"Azuay";1;62;999;18;50;1;1;2022;"Hombre";21;881840;"Area rural";"Cuenca";"Ricaurte";101629990180050;10162999018005001;1016299901800500101
"Azuay";1;62;999;19;16;1;1;2022;"Mujer";29;881840;"Area rural";"Cuenca";"Ricaurte";101629990190016;10162999019001601;1016299901900160101
"Azuay";1;62;999;19;49;1;1;2019;"Hombre";23;881840;"Area rural";"Cuenca";"Ricaurte";101629990190049;10162999019004901;1016299901900490101
"Azuay";1;62;999;19;57;1;1;9999;"Hombre";999;881840;"Area rural";"Cuenca";"Ricaurte";101629990190057;10162999019005701;1016299901900570101
"Azuay";1;62;999;19;60;1;1;2014;"Hombre";16;881840;"Area rural";"Cuenca";"Ricaurte";101629990190060;10162999019006001;1016299901900600101
"Azuay";1;62;999;20;10;1;1;2019;"Hombre";54;881840;"Area rural";"Cuenca";"Ricaurte";101629990200010;10162999020001001;1016299902000100101
"Azuay";1;62;999;20;11;1;1;2022;"Hombre";48;881840;"Area rural";"Cuenca";"Ricaurte";101629990200011;10162999020001101;1016299902000110101
"Azuay";1;62;999;20;18;1;1;2015;"Hombre";999;881840;"Area rural";"Cuenca";"Ricaurte";101629990200018;10162999020001801;1016299902000180101
"Azuay";1;62;999;20;28;1;1;2015;"Hombre";30;881840;"Area rural";"Cuenca";"Ricaurte";101629990200028;10162999020002801;1016299902000280101
"Azuay";1;62;999;20;65;1;1;2019;"Hombre";34;881840;"Area rural";"Cuenca";"Ricaurte";101629990200065;10162999020006501;1016299902000650101
"Azuay";1;62;999;21;19;1;1;2020;"Hombre";38;881840;"Area rural";"Cuenca";"Ricaurte";101629990210019;10162999021001901;1016299902100190101
"Azuay";1;62;999;21;20;1;1;2022;"Hombre";26;881840;"Area rural";"Cuenca";"Ricaurte";101629990210020;10162999021002001;1016299902100200101
"Azuay";1;62;999;21;82;1;1;2017;"Mujer";29;881840;"Area rural";"Cuenca";"Ricaurte";101629990210082;10162999021008201;1016299902100820101
"Azuay";1;62;999;21;92;1;1;2019;"Mujer";37;881840;"Area rural";"Cuenca";"Ricaurte";101629990210092;10162999021009201;1016299902100920101
"Azuay";1;62;999;22;48;1;1;2020;"Hombre";24;881840;"Area rural";"Cuenca";"Ricaurte";101629990220048;10162999022004801;1016299902200480101
"Azuay";1;62;999;22;65;1;1;2020;"Hombre";20;881840;"Area rural";"Cuenca";"Ricaurte";101629990220065;10162999022006501;1016299902200650101
"Azuay";1;62;999;23;3;1;1;2022;"Hombre";34;881840;"Area rural";"Cuenca";"Ricaurte";101629990230003;10162999023000301;1016299902300030101
"Azuay";1;62;999;23;6;1;1;2014;"Mujer";18;881840;"Area rural";"Cuenca";"Ricaurte";101629990230006;10162999023000601;1016299902300060101
"Azuay";1;62;999;23;21;1;1;2022;"Hombre";999;881840;"Area rural";"Cuenca";"Ricaurte";101629990230021;10162999023002101;1016299902300210101
"Azuay";1;62;999;23;44;1;1;2016;"Hombre";33;881840;"Area rural";"Cuenca";"Ricaurte";101629990230044;10162999023004401;1016299902300440101
"Azuay";1;62;999;23;47;1;1;2022;"Hombre";36;881840;"Area rural";"Cuenca";"Ricaurte";101629990230047;10162999023004701;1016299902300470101
"Azuay";1;62;999;24;37;1;1;2022;"Hombre";15;881840;"Area rural";"Cuenca";"Ricaurte";101629990240037;10162999024003701;1016299902400370101
"Azuay";1;62;999;24;55;1;1;2020;"Hombre";26;881840;"Area rural";"Cuenca";"Ricaurte";101629990240055;10162999024005501;1016299902400550101
"Azuay";1;62;999;24;56;1;1;2018;"Mujer";26;881840;"Area rural";"Cuenca";"Ricaurte";101629990240056;10162999024005601;1016299902400560101
